id,name,ancestry
1,レディース,NULL
2,メンズ,NULL
3,ベビー・キッズ,NULL
4,インテリア・住まい・小物,NULL
5,本・音楽・ゲーム,NULL
6,おもちゃ・ホビー・グッズ,NULL
7,コスメ・香水・美容,NULL
8,家電・スマホ・カメラ,NULL
9,スポーツ・レジャー,NULL
10,ハンドメイド,NULL
11,チケット,NULL
12,自動車・オートバイ,NULL
13,その他,NULL
14,トップス,1
15,ジャケット/アウター,1
16,パンツ,1
17,スカート,1
18,ワンピース,1
19,靴,1
20,ルームウェア/パジャマ,1
21,レッグウェア,1
22,帽子,1
23,バッグ,1
24,アクセサリー,1
25,ヘアアクセサリー,1
26,小物,1
27,時計,1
28,ウィッグ,1
29,浴衣/水着,1
30,スーツ/フォーマル/ドレス,1
31,マタニティ,1
32,その他,1
33,トップス,2
34,ジャケット/アウター,2
35,パンツ,2
36,靴,2
37,バッグ,2
38,スーツ,2
39,帽子,2
40,アクセサリー,2
41,小物,2
42,時計,2
43,水着,2
44,レッグウェア,2
45,アンダーウェア,2
46,その他,2
47,ベビー服(女の子用) ~95cm,3
48,ベビー服(男の子用) ~95cm,3
49,ベビー服(男女兼用) ~95cm,3
50,キッズ服(女の子用) 100cm~,3
51,キッズ服(男の子用) 100cm~,3
52,キッズ服(男女兼用) 100cm~,3
53,キッズ靴,3
54,子ども用ファッション小物,3
55,おむつ/トイレ/バス,3
56,外出/移動用品,3
57,授乳/食事,3
58,ベビー家具/寝具/室内用品,3
59,おもちゃ,3
60,行事/記念品,3
61,その他,3
62,キッチン/食器,4
63,ベッド/マットレス,4
